Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013
bound,8CTA.F,15,7,5,9,4,0,0,11,9,0,2,0,1,0
unbound,3VQA.B,19,24,3,3,3,0,5,2,8,3,0,0,0,0
unbound,3AV9.B,8,22,19,0,6,0,6,0,0,0,0,0,0,0
unbound,4CJR.A,13,20,19,0,8,0,3,2,1,0,0,0,0,0
unbound,6WE7.A,20,18,0,0,16,0,1,0,0,0,0,0,0,0
unbound,7D83.A,14,15,0,18,6,0,15,0,4,0,0,0,0,0
unbound,4CEA.A,12,21,20,0,5,0,2,0,0,0,1,0,0,0
unbound,4CF8.B,16,25,17,0,10,0,5,0,1,0,0,0,0,0
unbound,6VX2.A,27,10,0,3,17,0,0,8,6,0,0,0,2,0
unbound,6NCJ.A,18,13,0,0,0,0,0,8,3,0,0,0,0,0
unbound,4AHR.B,10,17,14,0,4,0,5,0,0,1,1,0,0,0
unbound,4CJS.B,14,15,15,0,5,0,5,0,0,0,1,0,0,0
unbound,3VQP.A,17,14,0,0,0,0,2,0,6,1,0,0,0,0
unbound,1ITG.A,26,16,0,0,0,0,16,4,12,0,4,0,0,0
unbound,5KRS.A,15,11,0,22,13,0,14,0,2,0,0,0,0,0
unbound,4E1M.A,7,20,1,15,12,0,11,0,0,7,7,0,0,0
unbound,3VQ6.A,17,13,8,0,5,0,6,1,4,3,0,0,1,0
unbound,3L3V.A,14,26,3,0,1,0,2,2,5,0,0,0,0,0
unbound,3ZT2.B,10,20,17,0,7,0,9,0,0,0,0,0,0,0
unbound,3ZT1.B,11,18,18,0,5,0,9,0,1,0,1,0,0,0
unbound,4LH4.A,19,12,0,19,4,0,8,3,1,0,0,0,0,0
unbound,1BL3.B,24,13,9,0,5,0,18,0,9,0,0,0,0,0
unbound,4AHU.A,15,23,18,0,9,0,4,0,0,0,0,0,0,0
unbound,8CTA.N,21,19,2,2,2,0,0,13,6,0,0,0,0,0
unbound,3OVN.B,19,20,3,0,1,0,2,5,8,0,0,0,0,0
unbound,3AVA.B,11,16,11,0,4,0,9,0,0,0,1,0,0,0
unbound,3ZSQ.B,17,18,15,0,2,0,10,0,0,0,0,0,0,0
unbound,6UM8.A,19,12,10,0,1,0,5,11,5,7,1,0,0,0
unbound,1BL3.A,18,16,7,0,3,0,0,3,9,0,0,0,0,0
unbound,8A1Q.B,14,20,12,3,4,0,12,0,2,0,0,0,0,3
unbound,4CGG.A,15,24,20,0,7,0,3,0,0,0,1,0,0,0
unbound,5HRP.A,16,10,0,11,1,0,4,4,5,1,1,0,0,0
unbound,4CK1.B,15,19,18,0,6,0,3,0,1,0,1,0,0,0
unbound,1BIU.A,24,10,3,0,1,0,18,10,5,5,0,0,0,0
unbound,4CFA.B,15,22,20,0,8,0,6,0,1,0,2,0,0,0
unbound,5OI3.A,25,16,0,19,9,0,10,4,3,0,0,0,0,0
unbound,3AVL.A,12,19,18,0,6,0,2,0,0,0,1,0,0,0
unbound,6W42.A,25,7,0,0,27,0,1,5,3,0,0,0,0,0
unbound,3ZSW.A,12,21,19,0,5,0,2,0,1,0,1,0,0,0
unbound,3VQ9.B,19,5,2,0,1,0,11,13,12,0,2,0,0,0
bound,3LPU.A,16,16,2,18,7,0,7,0,1,0,0,0,0,0
bound,3NF8.B,8,20,15,0,7,0,1,0,0,0,0,0,0,0
unbound,1BIZ.B,22,23,0,12,0,0,2,18,9,0,0,0,0,0
unbound,3VQC.B,20,14,2,2,0,0,1,3,10,1,0,0,1,0
unbound,3AVI.A,8,13,13,0,5,0,5,0,0,0,0,0,0,0
unbound,1HYZ.A,17,6,0,19,8,0,4,4,6,5,2,0,0,1
unbound,1QS4.B,16,18,9,0,4,0,17,4,3,0,0,0,0,0
unbound,4LH5.A,18,12,0,20,5,0,11,4,3,0,0,0,0,0
unbound,7RQ0.A,15,12,0,0,13,0,1,16,4,0,0,0,0,0
unbound,3OVN.A,16,23,3,0,1,0,0,3,4,1,0,0,1,0
unbound,4Y1C.B,33,11,5,0,2,0,9,12,17,9,0,0,0,0
unbound,3AVC.B,10,20,19,0,6,0,9,0,0,0,1,0,0,0
unbound,3AVN.B,14,16,15,0,4,0,7,0,1,0,0,0,0,0
unbound,5U1C.B,25,3,0,24,0,0,0,5,1,0,0,9,0,1
unbound,6U8Q.K,16,16,8,0,8,0,17,1,7,1,0,0,0,0
unbound,3AVM.A,10,22,18,0,6,0,7,0,0,0,1,0,0,0
unbound,4CK1.A,11,15,15,0,5,0,3,0,1,0,0,0,0,0
unbound,4CF0.B,16,24,18,0,8,0,5,0,0,0,1,0,0,0
bound,4AHT.B,7,21,20,0,8,0,5,0,0,0,2,0,0,0
unbound,6VQS.A,18,16,0,2,4,0,2,9,5,0,0,0,3,0
unbound,7T9H.B,16,15,10,1,2,0,1,9,6,6,2,0,0,2
unbound,3VQQ.A,21,7,3,0,1,0,3,5,9,1,0,0,4,0
unbound,4OVL.B,13,20,17,2,6,0,5,0,0,0,0,0,0,0
unbound,7U2U.A,15,22,5,0,6,0,5,2,2,0,0,0,0,0
unbound,6L0C.A,15,15,0,16,2,0,0,9,12,0,0,0,1,0
unbound,3VQ4.A,19,7,3,0,0,0,6,1,3,0,0,0,1,0
unbound,1BI4.B,23,11,6,0,6,0,16,5,12,0,0,0,0,0
unbound,6EB2.A,15,15,0,24,5,0,9,0,8,0,0,0,0,0
unbound,3VQC.A,18,15,3,0,2,0,0,2,7,0,0,0,1,0
unbound,4CHY.B,8,24,17,4,6,0,3,0,0,0,0,0,0,0
unbound,8CTA.A,16,19,0,5,0,0,1,0,10,1,0,0,0,11
unbound,4CIF.A,16,20,18,0,7,0,3,0,0,1,0,0,0,0
unbound,4AHV.B,7,25,21,0,10,0,4,0,0,1,0,0,0,0
unbound,3VQP.B,21,10,0,0,2,0,5,10,7,1,0,0,0,0
unbound,3ZCM.A,11,21,20,0,7,0,3,0,0,0,1,0,0,0
unbound,3ZT4.B,8,23,20,0,9,0,13,0,0,0,0,0,0,0
unbound,5EU7.A,18,11,4,0,3,0,1,4,7,1,1,0,0,0
unbound,4CJ3.A,15,21,18,0,8,0,4,0,0,0,1,0,0,0
unbound,4CJL.A,13,19,19,0,4,0,13,4,0,0,0,0,0,0
unbound,3AVA.A,11,19,18,0,7,0,4,0,1,0,1,0,0,0
unbound,5EU7.B,17,15,3,0,4,0,4,12,5,3,1,0,1,0
bound,3LPT.A,15,4,2,18,5,0,14,0,6,2,0,0,1,0
unbound,4CJ5.A,10,22,20,0,8,0,0,0,0,0,1,0,0,0
unbound,4GVM.A,16,18,0,0,5,0,2,12,2,1,0,0,1,0
unbound,3AVC.A,14,19,19,0,5,0,6,0,0,0,1,0,0,0
unbound,4TSX.A,12,18,0,20,0,0,6,2,2,1,7,0,0,0
unbound,3L3U.A,14,17,7,0,2,0,7,0,6,0,15,0,0,0
unbound,4CEF.A,14,22,17,0,9,0,11,0,0,0,0,0,0,0
unbound,4CEQ.B,15,18,18,0,3,0,8,0,0,0,1,0,0,0
unbound,8CTA.E,15,12,2,8,1,0,16,0,8,0,1,0,0,0
unbound,7T9O.A,17,10,6,0,0,0,0,9,5,0,0,0,0,0
unbound,1BI4.A,20,16,5,0,1,0,0,5,12,0,0,0,0,0
unbound,1HYV.A,19,10,0,19,7,0,0,7,4,0,0,0,0,1
unbound,3VQB.A,16,10,0,0,0,0,1,0,6,1,0,0,0,0
unbound,4CEQ.A,14,15,11,0,6,0,10,0,0,0,1,0,0,0
unbound,3VQQ.B,17,18,0,0,0,0,7,4,9,2,0,0,0,1
unbound,4JLH.A,19,8,0,21,8,0,0,8,3,0,0,0,0,0
unbound,3VQ9.A,17,16,8,0,7,0,0,4,9,0,0,0,0,0
unbound,4CJT.A,13,22,19,0,7,0,2,0,1,0,1,0,0,0
unbound,7LQP.B,17,11,0,0,15,0,5,9,2,0,4,0,0,0
unbound,4CF0.A,16,23,17,2,7,0,3,0,0,0,1,0,0,0
unbound,3AVH.A,13,17,15,0,7,0,5,0,0,0,1,0,0,0
unbound,1BIS.A,29,16,2,0,3,0,18,7,7,0,0,0,0,0
unbound,5HRR.A,14,12,0,2,0,0,5,10,5,3,1,0,0,0
unbound,4CF8.A,10,25,18,0,11,0,4,0,1,0,0,0,0,0
unbound,5OI2.A,14,15,0,17,8,0,0,8,3,0,0,0,0,0
unbound,6JCG.A,17,7,0,4,4,0,15,3,4,1,1,0,1,0
unbound,3AVJ.A,10,18,18,1,7,0,8,0,0,0,1,0,0,0
unbound,5OIA.A,14,7,0,15,7,0,10,5,6,0,0,0,0,0
bound,3NF7.A,11,22,15,1,6,0,3,0,0,0,0,0,0,0
unbound,6VLH.B,17,19,0,0,18,0,0,0,0,0,0,0,0,0
unbound,4CFC.B,10,19,17,2,4,0,9,0,0,0,0,0,0,0
unbound,1BIU.C,15,9,2,0,3,0,16,9,7,5,0,0,0,0
unbound,3AV9.A,10,20,15,0,6,0,1,0,0,0,2,0,0,0
unbound,5KGX.A,19,8,0,19,3,0,0,8,5,0,3,0,1,3
