Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006
bound,1KSN.A,27,14,20,0,0,0,5
bound,2W3I.A,26,23,17,1,0,4,4
bound,2P93.A,30,19,20,0,0,3,3
bound,4BTI.B,18,20,16,0,0,3,0
bound,2Y7Z.A,20,23,13,0,0,4,3
bound,2J34.A,31,23,17,0,0,2,0
bound,1IQJ.A,17,18,21,0,0,2,5
bound,4ZH8.A,26,22,16,11,0,5,0
bound,2XBX.A,20,18,15,8,0,2,0
bound,3ENS.D,22,19,21,10,0,0,2
bound,1Z6E.A,25,20,19,5,0,0,2
unbound,7TPP.B,16,21,4,6,16,0,9
unbound,1P0S.H,25,8,18,0,0,4,4
bound,2UWO.A,22,17,19,3,0,0,2
bound,1MQ5.A,23,18,18,6,0,0,3
bound,3Q3K.A,31,21,18,0,0,1,5
bound,2BQW.B,15,17,17,0,0,3,3
bound,2Y5H.A,26,18,22,0,0,3,0
bound,4A7I.B,19,22,21,0,2,0,4
bound,2W3K.A,28,22,17,0,0,1,3
bound,2PR3.A,19,25,17,0,0,8,2
bound,7AHU.C,23,12,17,11,3,0,7
bound,2VWN.A,24,22,19,8,0,2,0
bound,3KQC.A,20,20,19,0,0,2,3
bound,1NFW.A,23,21,16,0,0,7,2
bound,1IQE.A,16,16,18,0,0,0,0
bound,2P94.A,26,19,21,0,0,0,0
bound,2Y5G.A,17,17,20,9,0,1,2
bound,2J38.A,26,21,17,0,0,2,0
bound,2Y81.A,16,16,16,0,0,5,0
bound,3KL6.A,29,16,16,6,0,6,0
bound,1EZQ.A,26,15,18,3,0,0,6
unbound,2GD4.B,22,21,15,0,0,10,2
bound,2J4I.A,27,18,18,0,0,2,0
bound,1G2L.A,26,19,16,0,0,0,3
bound,2P95.A,26,17,18,0,0,1,0
bound,2VVC.A,15,19,20,0,0,2,4
unbound,2GD4.H,20,21,14,0,2,10,0
unbound,2P3F.H,19,14,18,9,0,0,0
bound,1F0R.A,29,17,16,0,0,7,7
bound,2XC5.A,20,20,16,3,0,4,3
bound,2VH6.A,20,20,16,12,0,0,0
bound,4BTU.B,23,22,16,0,0,2,5
bound,2Y7X.A,22,19,15,13,0,4,0
bound,4Y71.A,22,21,15,2,0,7,3
bound,2J2U.A,25,23,13,0,0,6,5
bound,2VWL.A,23,23,17,0,0,3,2
bound,3K9X.D,26,18,21,9,0,0,0
unbound,2H9E.H,21,18,20,13,0,1,0
bound,1IQI.A,21,17,17,2,0,0,0
bound,3K9X.B,21,19,15,0,0,0,0
bound,2J94.A,18,20,20,0,0,0,0
bound,1IQF.A,19,14,16,0,0,1,0
bound,1G2M.A,16,16,20,0,0,0,0
bound,1IQL.A,19,17,18,2,0,0,4
bound,2BQ7.B,29,18,18,0,0,0,6
bound,4BTT.F,30,20,23,0,0,3,0
bound,2VH0.A,29,19,17,4,0,0,0
bound,2UWP.A,27,26,16,2,0,0,0
bound,2Y82.A,18,22,17,4,0,5,4
bound,1FJS.A,18,22,19,4,0,2,0
bound,2WYJ.A,24,21,14,3,0,8,3
bound,3CEN.A,14,17,19,0,0,2,0
bound,2PHB.A,27,22,16,0,0,0,2
bound,2XC0.A,21,21,18,2,0,3,0
bound,2XC4.A,22,22,16,9,0,1,0
bound,2G00.A,20,20,16,3,0,0,0
bound,4BTT.B,32,17,20,3,0,0,0
bound,2EI7.A,24,22,17,4,0,0,3
bound,1LPG.B,28,22,18,0,0,0,0
unbound,1C5M.D,25,18,18,14,0,0,0
bound,2BOH.B,29,24,18,0,0,0,0
bound,4Y76.A,24,18,14,12,0,5,0
bound,5VOF.H,26,16,21,9,0,0,3
bound,2VWO.A,16,23,15,3,0,2,3
bound,2BQ6.B,21,17,18,0,0,3,0
bound,2Q1J.A,30,25,15,0,0,7,5
bound,2VWM.A,15,23,13,0,0,2,3
unbound,1HCG.A,27,18,16,0,0,1,0
bound,1IOE.A,24,15,16,0,0,0,0
bound,3M36.A,27,19,24,0,0,3,3
bound,1WU1.A,28,16,19,7,0,0,5
bound,2P16.A,25,20,18,3,0,0,0
bound,2P3T.B,21,22,19,4,0,0,2
bound,2EI8.A,28,19,19,3,0,2,0
bound,1NFU.A,25,17,16,10,0,0,2
