Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007
bound,7BJW.A,19,17,9,0,0,0,6,0
unbound,6YR6.G,19,17,13,0,1,0,2,3
bound,7OBL.A,19,16,4,0,2,0,4,0
unbound,7NNE.A,17,17,12,0,1,0,0,0
bound,6SLV.A,31,19,9,0,2,0,3,4
unbound,6FBY.A,23,16,10,0,1,0,2,0
bound,7BJB.A,17,17,10,0,0,0,6,0
unbound,6S9Q.A,26,17,11,0,2,0,5,2
bound,6YP2.A,19,13,7,0,0,0,8,0
unbound,6RL3.A,23,22,8,0,1,0,5,2
bound,7AYF.A,20,21,10,0,0,0,3,0
bound,6YPY.A,16,14,6,0,0,0,3,0
unbound,6Y40.A,15,15,13,0,5,0,5,1
bound,7NSV.A,18,16,7,0,2,0,6,0
unbound,6Y7T.A,20,19,10,0,6,3,0,0
unbound,6Y7T.K,27,21,12,0,2,0,0,0
unbound,4Y3B.A,26,13,7,0,0,0,2,0
unbound,5N5T.A,31,18,11,0,1,0,0,1
bound,6YE9.A,29,17,8,0,3,0,0,0
bound,7NZ6.A,17,14,11,0,1,0,2,0
unbound,6G8K.A,22,16,5,0,0,0,5,0
bound,4DHQ.A,29,17,12,0,3,0,2,0
bound,7OBS.A,31,18,11,0,0,0,3,5
unbound,6YIA.A,28,15,9,0,3,0,5,0
bound,7OQW.A,25,15,12,0,1,0,2,2
bound,6S40.A,19,19,10,0,1,0,4,2
bound,6QDS.A,22,17,8,0,3,0,0,0
bound,6S39.A,32,19,10,0,2,0,0,0
unbound,6FAV.C,20,18,11,0,0,8,3,0
unbound,6SLW.A,20,17,9,0,1,0,6,2
unbound,6G8Q.A,19,15,11,0,0,0,4,0
unbound,6YR5.D,18,16,13,0,2,0,3,2
unbound,6YLU.A,23,16,11,0,1,0,2,0
unbound,6G8P.A,28,27,9,0,3,0,3,2
unbound,6FBW.C,17,17,11,0,1,7,3,0
unbound,6ZVD.A,16,16,11,0,1,0,5,2
unbound,6Y8E.A,25,20,11,0,0,0,7,0
unbound,6QZR.C,21,20,12,0,9,2,4,2
unbound,5MY9.A,25,14,10,0,1,0,0,2
bound,7OQJ.A,21,19,9,0,0,0,5,2
bound,4DHU.A,30,19,11,0,5,0,0,0
bound,7O34.A,13,13,11,0,2,0,4,2
bound,7OBT.A,19,17,8,0,2,0,0,4
unbound,6RJZ.A,30,17,8,0,1,0,2,0
bound,4DHM.A,22,15,10,0,4,0,2,0
bound,7OQ7.A,32,19,11,0,1,0,4,4
bound,7O3R.A,19,15,10,0,0,0,7,0
bound,7BDT.A,19,19,9,0,0,0,2,0
bound,7BI3.A,20,16,7,0,1,0,4,0
bound,7NM9.A,16,14,11,0,0,0,3,0
bound,7ORT.A,23,23,11,0,0,0,5,3
bound,7NJ6.A,22,14,11,0,5,0,4,3
unbound,6QZS.A,16,12,12,0,0,0,2,4
unbound,5OEH.A,20,15,8,0,2,0,0,0
bound,7NRK.A,16,10,10,0,10,0,5,3
bound,7O5S.A,20,17,10,0,1,0,4,0
unbound,6Y3M.A,16,16,7,0,1,0,0,0
unbound,7B13.A,21,15,6,0,6,0,4,0
unbound,6RWI.A,26,21,8,0,1,0,3,2
unbound,6FBW.A,20,19,13,0,2,0,3,0
bound,7BGV.A,20,15,10,0,1,0,3,0
bound,7NWS.A,22,14,9,0,0,0,4,0
bound,4DHS.A,27,16,12,0,7,0,2,0
bound,7NJA.A,20,15,11,0,9,0,7,0
unbound,5N5W.A,23,17,10,0,1,0,5,0
unbound,6YR6.E,19,19,12,0,7,0,0,5
unbound,5N75.A,24,19,10,0,3,0,0,0
bound,5MXO.A,22,18,12,0,1,0,4,1
bound,7OB5.A,31,23,12,0,3,0,9,0
bound,6TM7.B,18,18,13,0,3,0,5,2
bound,6YOW.A,16,16,8,0,3,0,2,0
unbound,6QZR.E,18,17,11,0,2,0,5,0
bound,3T0M.A,31,27,13,0,7,0,0,1
bound,7NJ9.A,20,18,12,0,0,0,5,0
bound,7O3S.A,18,16,7,0,0,0,6,1
unbound,8BI7.A,28,20,6,0,2,0,7,0
bound,6R5L.A,32,18,9,0,2,0,3,0
unbound,6QZR.D,14,9,13,0,17,0,9,0
bound,6QDU.A,19,16,10,0,2,0,4,0
bound,6RL6.A,19,19,10,0,0,0,7,0
unbound,7OBX.A,17,16,9,0,1,0,3,7
bound,7NLA.A,18,15,9,0,0,0,6,1
bound,7OB8.A,21,21,10,0,2,0,4,0
unbound,6YIC.A,31,18,12,0,2,0,6,0
bound,7NMW.A,17,17,7,0,1,0,2,0
unbound,6Y3O.A,23,12,7,13,0,0,3,2
unbound,4FL5.B,30,19,12,0,0,8,0,0
bound,7NXS.A,20,17,7,0,0,0,4,0
bound,7NXT.A,20,18,10,0,0,0,0,0
bound,7OBD.A,34,32,10,0,1,0,5,1
bound,7OPW.A,29,28,13,0,0,0,2,0
unbound,6YR7.A,20,15,9,0,4,11,3,4
bound,7NJB.A,17,16,8,0,2,0,4,0
unbound,6QZR.H,21,17,6,0,2,0,5,0
unbound,5MYC.A,23,21,5,0,1,0,6,0
bound,7OQA.A,21,16,11,0,1,0,5,0
unbound,7BM9.A,32,19,10,0,2,0,2,10
bound,7O5D.A,20,16,11,0,11,0,8,0
unbound,4JC3.A,18,18,13,0,2,0,0,1
unbound,6G8J.A,20,16,9,0,1,0,4,0
unbound,6RHC.A,22,16,5,0,0,0,0,5
bound,7BMC.A,15,15,9,0,2,0,3,0
bound,7O5C.A,19,15,7,0,0,0,4,0
unbound,3IQJ.A,30,14,11,0,1,0,2,0
unbound,6QHL.A,22,15,6,0,0,0,12,0
bound,7NM1.A,14,13,12,0,1,0,4,0
bound,7PWT.A,20,20,0,0,1,2,0,2
bound,7NLE.A,15,15,12,0,0,0,6,0
unbound,6G8L.A,22,18,11,0,1,0,4,0
bound,7BDP.A,19,20,8,0,2,0,0,0
unbound,6QZS.B,32,19,12,0,1,5,2,3
unbound,6Y1J.A,27,18,10,0,1,0,0,0
bound,7O5P.A,19,13,8,0,0,0,3,0
bound,7NIZ.A,19,13,11,0,2,0,0,0
unbound,7NFW.A,30,18,11,0,2,0,0,2
unbound,7ZMU.A,20,19,10,0,3,0,0,0
unbound,6FAW.C,27,17,11,0,0,4,2,0
unbound,5N5R.A,23,17,12,0,1,0,2,2
unbound,7OBK.A,17,17,10,0,2,0,5,1
unbound,3P1N.A,22,17,8,0,2,0,7,3
bound,7O5U.A,17,15,6,0,0,0,5,0
unbound,7OBG.A,27,19,8,0,1,0,6,1
bound,7O5O.A,20,18,8,0,0,0,4,0
bound,7NND.A,22,18,10,0,1,0,0,0
bound,7BGQ.A,20,20,11,0,0,0,0,2
unbound,6Y44.A,23,17,12,0,1,0,3,0
unbound,6S3C.A,22,19,10,0,1,0,4,0
bound,7BKH.A,17,15,11,0,0,0,0,0
bound,7NK5.A,17,17,12,0,0,0,6,0
bound,7AZ1.A,17,19,10,0,0,0,4,0
unbound,7NP2.A,23,17,10,0,0,0,4,0
unbound,6ZVC.A,23,15,12,0,0,0,7,0
bound,7NRL.A,20,22,13,0,3,0,3,0
bound,7NVI.A,20,17,12,0,0,0,2,0
unbound,4Y3B.B,17,17,12,0,0,7,0,0
bound,6TLF.A,22,19,11,0,4,0,4,2
bound,6YOY.A,20,16,10,0,0,0,5,0
unbound,6G8I.A,21,16,11,0,2,0,4,0
unbound,6FCP.A,27,16,11,0,0,0,4,0
bound,6YPL.A,19,14,5,0,0,0,2,0
bound,7NV4.A,16,14,11,0,0,0,3,2
unbound,3LW1.A,31,19,11,0,1,0,5,0
unbound,6TM7.A,16,16,12,0,2,0,5,2
bound,7AOG.A,25,14,9,0,0,0,6,0
bound,6YQ2.A,20,17,13,0,0,0,6,0
unbound,7NIX.A,18,16,4,0,1,0,4,1
unbound,6QZR.F,22,15,11,0,0,0,2,0
unbound,6Y8D.A,23,17,11,0,11,0,4,1
bound,6RWH.A,27,14,9,0,1,0,2,3
unbound,6QZR.A,22,17,11,0,2,4,2,1
bound,6NV2.A,18,15,7,0,0,0,0,0
unbound,6ZVE.A,22,23,9,0,0,0,0,0
bound,7O6J.A,19,18,8,0,1,0,3,0
unbound,6W0L.A,25,18,11,0,1,0,8,3
bound,7NPB.A,18,18,11,0,0,0,2,0
unbound,6YR6.C,18,16,11,0,0,6,0,0
bound,7NZG.A,16,16,11,0,1,0,3,0
unbound,6Y58.A,23,23,7,0,2,0,6,0
bound,7NIF.A,22,14,9,0,7,0,7,3
unbound,4FL5.A,25,15,12,0,1,0,4,0
bound,6YP8.A,15,15,9,0,0,0,4,0
bound,3UX0.A,28,18,11,0,0,0,4,0
unbound,3MHR.A,16,16,12,0,3,0,2,1
bound,7NMX.A,18,18,8,0,1,0,0,0
bound,7NYF.A,19,17,10,0,2,0,5,2
unbound,6ZVB.A,17,17,12,0,0,0,7,0
unbound,7OBC.A,21,18,5,0,1,0,0,0
unbound,6SIO.A,17,16,10,0,1,0,2,1
unbound,6Y7T.F,17,17,11,0,6,0,0,0
unbound,6QHM.A,21,16,9,0,0,0,5,0
unbound,7O07.A,32,18,11,0,2,0,6,0
bound,7AXN.A,19,14,10,0,2,0,0,3
bound,7O3P.A,17,15,8,0,0,0,3,0
bound,7BFW.A,21,21,10,0,2,0,4,0
unbound,4Y32.B,28,18,13,0,0,13,0,0
bound,7O3Q.A,20,16,8,0,0,0,8,0
bound,7O5F.A,19,15,10,0,0,0,5,3
bound,4DHO.A,33,19,8,0,1,0,5,0
unbound,5MOC.A,26,21,10,0,1,0,3,3
bound,4DHN.A,29,18,11,0,0,0,0,2
unbound,4Y5I.A,29,18,5,0,2,0,2,0
bound,7NZV.A,15,14,11,0,0,0,6,0
bound,7O6G.A,17,14,10,0,0,0,4,0
bound,7NK3.A,20,14,11,0,0,0,8,0
bound,7O5X.A,19,16,10,0,1,0,6,2
unbound,6RM7.A,23,19,9,0,0,0,3,0
unbound,4IEA.A,15,14,11,0,4,0,6,0
unbound,5OEG.A,18,16,7,0,3,0,0,0
bound,7OQS.A,22,18,5,0,0,0,3,0
bound,7OQU.A,31,18,8,0,1,0,4,0
bound,3P1O.A,25,23,5,0,1,0,4,0
bound,6SIP.A,29,16,9,0,1,0,3,2
unbound,6RP6.A,22,14,11,0,1,0,5,1
bound,7O3A.A,20,13,7,0,1,0,5,0
unbound,6YR7.B,21,20,9,0,4,0,5,0
unbound,6Y8B.A,21,9,12,0,0,0,4,5
unbound,6FBB.A,27,18,9,0,3,0,5,0
bound,7BDY.A,18,19,10,0,0,0,2,0
bound,7NR7.A,23,13,10,0,0,0,3,0
bound,7BIY.A,17,13,12,0,0,0,6,0
unbound,5MHC.A,26,24,10,0,0,0,3,0
bound,6YOX.A,21,16,11,0,1,0,8,0
unbound,6TCH.B,22,22,7,0,1,0,0,0
bound,7BG3.A,14,14,4,0,1,0,2,2
bound,4DHP.A,16,15,11,0,2,0,0,0
unbound,6YR5.B,16,16,8,0,1,0,8,0
bound,7NMH.A,19,11,12,0,1,0,6,0
unbound,6FI5.A,20,19,10,0,1,0,4,0
unbound,6Y3V.A,33,19,8,0,1,2,3,0
bound,6RM5.A,25,17,11,0,11,0,2,0
bound,6GHP.A,20,16,4,0,1,0,2,0
unbound,4Y5I.B,20,17,12,0,0,9,0,0
bound,7O57.A,17,16,8,0,0,0,5,0
unbound,6FAU.A,17,15,12,0,3,0,5,0
unbound,6RWU.A,27,24,8,0,1,0,0,0
unbound,3IQU.A,32,18,12,0,2,0,4,2
bound,7ORS.A,22,20,9,0,0,0,4,0
unbound,6FBY.C,26,20,10,0,0,3,4,0
unbound,7ZMW.A,27,25,10,0,0,0,0,1
bound,7O6K.A,17,17,11,0,1,0,3,0
unbound,6QIU.A,26,22,10,0,0,0,6,0
unbound,6ZCJ.A,32,17,10,0,2,0,4,0
bound,7OR5.A,29,17,10,0,0,0,6,0
bound,6RK8.A,19,17,11,0,1,0,6,0
bound,6RL4.A,25,22,11,0,0,0,3,2
bound,7BJL.A,16,16,8,0,0,0,5,0
bound,7BIW.A,15,13,10,0,0,0,3,0
unbound,6QDR.A,24,16,9,0,1,0,3,0
unbound,6FI4.A,18,18,11,0,6,0,4,0
bound,7O5G.A,14,14,6,0,0,0,4,0
bound,7BGR.A,16,16,12,0,9,0,2,5
unbound,6SIN.A,30,15,8,0,1,0,3,0
unbound,7B15.A,18,16,12,0,0,0,5,2
unbound,6QDT.A,25,14,11,0,1,0,3,0
unbound,7NMA.A,16,16,8,0,1,0,6,0
unbound,6Y3R.A,25,15,11,0,0,0,3,0
bound,7ORH.A,22,20,12,0,1,0,6,0
bound,7PWZ.A,28,16,5,0,0,7,7,4
bound,7ORG.A,28,28,9,0,1,0,5,0
bound,3U9X.A,23,19,7,0,2,0,0,0
bound,7O5A.A,18,15,8,0,0,0,7,0
bound,7OR7.A,20,13,7,0,2,0,3,0
bound,4DHR.A,30,18,12,0,2,0,4,2
unbound,6QZR.B,17,17,12,0,1,5,2,0
