Kind,Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007
bound,4IEM.C,16,8,9,0,7,4,0,0
bound,7U50.K,25,0,12,0,3,2,0,2
unbound,7SVB.A,17,13,11,0,0,3,0,0
bound,6W4I.A,17,14,20,0,0,5,0,2
bound,4QHD.A,17,10,16,0,2,3,0,0
unbound,6BOQ.B,13,13,12,0,0,5,0,0
bound,7LPH.D,18,14,7,0,2,5,0,0
bound,7LPI.D,19,14,7,0,2,5,0,0
unbound,7MCR.A,20,14,9,0,4,5,0,0
bound,5WN5.B,18,15,9,0,2,3,0,0
bound,6P93.A,15,14,3,13,0,3,0,0
unbound,6W43.B,16,13,15,0,3,5,6,0
bound,6W3L.B,17,14,13,0,0,0,0,0
unbound,7TR7.B,17,13,9,0,8,7,0,0
bound,6MK3.A,20,5,21,0,0,8,0,0
bound,4IEM.D,16,15,11,0,0,2,0,0
unbound,6W3Q.A,18,14,8,0,4,2,0,0
bound,6MKK.A,20,15,20,0,2,4,0,0
bound,5WN2.A,19,4,12,0,2,3,0,2
bound,5WN3.B,17,14,11,0,2,6,0,0
unbound,4LND.B,19,9,9,0,0,3,0,0
unbound,5WN5.A,18,13,17,0,2,6,0,0
unbound,7TC2.D,18,13,15,0,6,5,0,0
unbound,4QHE.A,17,7,20,0,6,7,0,0
unbound,6BOS.B,21,0,11,0,6,4,6,0
bound,4IEM.A,21,15,2,0,3,8,0,0
bound,7TR7.A,26,13,12,0,9,7,0,0
bound,6W0Q.A,16,14,4,0,0,6,0,0
bound,7CD5.A,17,14,16,0,4,5,0,0
bound,6MKO.A,16,12,23,0,0,8,0,0
